Timestamp,LinAccX,LinAccY,LinAccZ,QuatI,QuatJ,QuatK,QuatReal,Label
1772359632730,-0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632734,-0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632739,0.02,-0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632744,0.02,-0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632749,0.02,-0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632754,-0.02,-0.02,0.05,-0.03,-0.01,-0.32,0.9465,1
1772359632759,0.02,-0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632764,-0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632769,-0.02,-0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632774,0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632779,0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632784,0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632789,-0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632794,0.02,-0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632799,-0.02,-0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632804,-0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632809,0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632814,0.02,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632819,0.02,-0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632824,-0.05,0.02,0.01,-0.03,-0.01,-0.32,0.9465,1
1772359632829,-0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632834,0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632839,0.02,0.02,-0.03,-0.03,-0.01,-0.32,0.9465,1
1772359632844,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632849,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632854,-0.05,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632859,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632864,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632869,0.02,0.05,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632874,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632879,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632884,0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632889,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632894,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632899,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632904,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632909,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632914,-0.05,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632919,-0.02,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632924,-0.02,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632929,0.02,0.01,-0.06,-0.03,-0.01,-0.32,0.9465,1
1772359632934,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632939,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632944,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632949,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632954,-0.02,0.02,-0.06,-0.03,-0.01,-0.32,0.9465,1
1772359632959,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632964,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632969,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632974,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632979,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632984,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632989,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632994,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359632999,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633004,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633009,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633014,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633019,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633024,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633029,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633034,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633039,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633044,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633049,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633054,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633059,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633064,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633069,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633074,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633079,-0.01,0.01,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633084,0.03,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633089,0.03,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633094,-0.01,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633099,-0.01,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633104,0.03,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633109,0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633114,-0.02,0.02,-0.06,-0.03,-0.01,-0.32,0.9465,1
1772359633119,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633124,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633129,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633134,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633139,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633144,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633149,-0.01,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633154,-0.01,-0.03,-0.06,-0.03,-0.01,-0.32,0.9465,1
1772359633159,0.03,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633164,0.03,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633170,-0.01,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633174,-0.01,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633179,0.03,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633184,-0.01,0.01,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633190,-0.01,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633195,0.03,0.01,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633200,-0.01,0.01,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633205,0.03,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633210,-0.01,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633215,-0.01,-0.03,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633220,-0.01,-0.03,0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633225,0.03,-0.07,-0.02,-0.03,-0.01,-0.32,0.9465,1
1772359633230,0.02,0.02,0.06,-0.03,-0.01,-0.32,0.9465,1
1772359633241,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633248,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633253,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633259,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633264,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633269,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633274,-0.05,-0.02,0.06,-0.03,-0.01,-0.32,0.9466,1
1772359633279,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633284,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633289,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633294,-0.05,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633299,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633304,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633310,0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633315,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633320,-0.01,0.01,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633325,-0.01,-0.03,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633330,-0.01,-0.03,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633335,0.03,0.01,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633340,-0.01,-0.03,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633345,0.03,-0.07,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633350,-0.02,-0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633356,-0.02,0.02,0.06,-0.03,-0.01,-0.32,0.9466,1
1772359633369,-0.05,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633374,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633379,-0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633384,-0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633389,0.02,0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633395,0.02,0.02,-0.02,-0.03,-0.01,-0.32,0.9466,1
1772359633400,-0.02,-0.02,0.02,-0.03,-0.01,-0.32,0.9466,1
