Timestamp,LinAccX,LinAccY,LinAccZ,QuatI,QuatJ,QuatK,QuatReal,Label
1772361034461,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1714,3
1772361034466,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1714,3
1772361034471,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034476,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034481,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034486,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1714,3
1772361034491,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1714,3
1772361034496,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1714,3
1772361034501,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034506,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1714,3
1772361034511,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034516,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034521,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1714,3
1772361034533,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034539,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034545,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034551,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034556,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034561,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034566,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034571,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034576,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034581,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034586,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034591,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034596,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034601,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034606,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034611,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034616,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034621,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034626,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034631,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034636,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034641,0.02,-0.02,0.07,0.34,-0.85,-0.37,0.1707,3
1772361034646,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034651,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034656,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034661,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034666,-0.02,-0.01,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034671,0.02,0.07,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034676,-0.02,0.03,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034681,0.02,-0.01,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034686,0.02,0.03,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034691,0.02,-0.01,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034696,0.02,0.03,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034701,0.02,0.03,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034706,0.02,-0.01,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034711,0.02,-0.01,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034716,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034721,0.02,-0.01,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034726,0.05,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034731,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034736,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034741,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034746,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034751,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034756,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034761,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034766,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034771,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034776,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034781,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034786,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034791,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034796,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034801,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034806,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034811,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034816,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034821,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034826,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034831,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034836,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034841,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034846,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034851,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034856,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034861,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034866,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034871,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034876,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034881,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034886,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034891,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034896,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034901,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034906,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034911,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034916,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034921,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034926,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034931,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034936,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034941,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034947,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034952,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034956,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034961,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034966,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034971,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361034976,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034981,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361034987,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034992,-0.02,-0.05,0.0,0.34,-0.85,-0.37,0.1707,3
1772361034997,0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035001,-0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035007,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035012,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035017,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035022,0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035027,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035032,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035037,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035042,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035047,-0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035052,0.02,-0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
1772361035057,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035062,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035067,0.02,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035072,-0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035077,-0.02,-0.02,0.04,0.34,-0.85,-0.37,0.1707,3
1772361035082,0.02,-0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035087,0.05,0.02,0.0,0.34,-0.85,-0.37,0.1707,3
1772361035092,-0.02,0.02,-0.04,0.34,-0.85,-0.37,0.1707,3
